instance,best_known,ALGirtct,shake_ls,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_to_improve,IBS_forward_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_to_improve,IBS_forward_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_to_improve,IBS_forward_alpha_time_opt
TA20_5_0,14033,14033,14033,14041,-,-,-,14054,-,-,-,14033,0.08934060484170914,-,-
TA20_5_1,15151,15151,15151,15245,-,-,-,15507,-,-,-,15151,0.05935106426477432,-,-
TA20_5_2,13301,13301,13301,13402,-,-,-,14067,-,-,-,13301,0.9667975902557373,-,-
TA20_5_3,15447,15447,15447,15503,-,-,-,15666,-,-,-,15447,0.09964834153652191,-,-
TA20_5_4,13529,13529,13529,13577,-,-,-,13756,-,-,-,13529,0.1074012815952301,-,-
TA20_5_5,13123,13123,13123,13123,0.18750949203968048,-,-,13428,-,-,-,13123,0.010693627409636974,-,-
TA20_5_6,13548,13548,13548,13548,2.068232536315918,-,-,13991,-,-,-,13548,0.0016522309742867947,-,-
TA20_5_7,13948,13948,13948,13948,0.18908028304576874,-,-,14207,-,-,-,13948,0.0162994172424078,-,-
TA20_5_8,14295,14295,14295,14295,1.4430315494537354,-,-,14659,-,-,-,14295,0.007571333087980747,-,-
TA20_5_9,12943,12943,12943,12943,0.34494614601135254,-,-,13177,-,-,-,12943,0.022252896800637245,-,-
TA20_10_0,20911,20911,20911,20911,8.747528076171875,-,-,21011,-,-,-,20911,0.06012209132313728,-,-
TA20_10_1,22440,22440,22440,22591,-,-,-,22575,-,-,-,22440,0.004357038997113705,-,-
TA20_10_2,19833,19833,19833,19833,1.1064566373825073,-,-,19999,-,-,-,19833,0.04976202920079231,-,-
TA20_10_3,18710,18710,18710,18751,-,-,-,18931,-,-,-,18710,0.019861504435539246,-,-
TA20_10_4,18641,18641,18641,18738,-,-,-,18717,-,-,-,18641,0.26837584376335144,-,-
TA20_10_5,19245,19245,19245,19452,-,-,-,19473,-,-,-,19245,0.0922204852104187,-,-
TA20_10_6,18363,18363,18363,18376,-,-,-,18462,-,-,-,18363,0.04636019468307495,-,-
TA20_10_7,20241,20241,20241,20241,1.1787030696868896,-,-,20350,-,-,-,20241,0.06568292528390884,-,-
TA20_10_8,20330,20330,20330,20330,1.254285454750061,-,-,20859,-,-,-,20330,0.0365285687148571,-,-
TA20_10_9,21320,21320,21320,21323,-,-,-,21478,-,-,-,21320,0.23380564153194427,-,-
TA20_20_0,33623,33623,33623,33901,-,-,-,33623,0.14599888026714325,-,-,33623,0.06305558234453201,-,-
TA20_20_1,31587,31587,31587,31834,-,-,-,31649,-,-,-,31587,0.1887194812297821,-,-
TA20_20_2,33920,33920,33920,33920,1.120442271232605,-,-,34421,-,-,-,33920,0.014830945059657097,-,-
TA20_20_3,31661,31661,31661,31706,-,-,-,31661,0.586032509803772,-,-,31661,0.32193097472190857,-,-
TA20_20_4,34557,34557,34557,34557,2.3240697383880615,-,-,34726,-,-,-,34557,0.058001935482025146,-,-
TA20_20_5,32564,32564,32564,32564,1.1665232181549072,-,-,32685,-,-,-,32564,0.15451446175575256,-,-
TA20_20_6,32922,32922,32922,32922,0.5484378337860107,-,-,33199,-,-,-,32922,0.022417733445763588,-,-
TA20_20_7,32412,32412,32412,32412,11.267362594604492,-,-,32467,-,-,-,32412,0.012669006362557411,-,-
TA20_20_8,33600,33600,33600,33600,11.74474811553955,-,-,33861,-,-,-,33600,0.017713600769639015,-,-
TA20_20_9,32262,32262,32262,32322,-,-,-,32418,-,-,-,32262,0.35838422179222107,-,-
TA50_5_0,64802,64802,64802,65477,-,-,-,67835,-,-,-,64886,-,-,-
TA50_5_1,68051,68051,68051,68823,-,-,-,71684,-,-,-,68074,-,-,-
TA50_5_2,63162,63162,63162,64455,-,-,-,66662,-,-,-,63162,0.6730486750602722,-,-
TA50_5_3,68226,68226,68226,69933,-,-,-,74019,-,-,-,68226,1.1056631803512573,-,-
TA50_5_4,69351,69351,69351,70752,-,-,-,71592,-,-,-,69490,-,-,-
TA50_5_5,66841,66841,66841,67722,-,-,-,71361,-,-,-,66841,10.559852600097656,-,-
TA50_5_6,66253,66253,66253,66591,-,-,-,70491,-,-,-,66287,-,-,-
TA50_5_7,64332,64332,64332,65720,-,-,-,68441,-,-,-,64386,-,-,-
TA50_5_8,62981,62981,62981,63726,-,-,-,65180,-,-,-,63317,-,-,-
TA50_5_9,68770,68770,68770,69797,-,-,-,76873,-,-,-,68834,-,-,-
TA50_10_0,87114,87114,87114,90233,-,-,-,88698,-,-,-,87140,-,-,-
TA50_10_1,82820,82820,82820,85160,-,-,-,85771,-,-,-,82820,0.6199945211410522,-,-
TA50_10_2,79931,79931,79931,82140,-,-,-,81943,-,-,-,79987,-,-,-
TA50_10_3,86446,86446,86446,90318,-,-,-,88934,-,-,-,86446,5.174299240112305,-,-
TA50_10_4,86377,86377,86377,88972,-,-,-,87916,-,-,-,86388,-,-,-
TA50_10_5,86587,86587,86587,89571,-,-,-,89205,-,-,-,86650,-,-,-
TA50_10_6,88750,88750,88750,92558,-,-,-,91952,-,-,-,89046,-,-,-
TA50_10_7,86727,86727,86727,89186,-,-,-,89813,-,-,-,86727,11.236421585083008,-,-
TA50_10_8,85441,85441,85441,91532,-,-,-,88490,-,-,-,85548,-,-,-
TA50_10_9,87998,87998,87998,90596,-,-,-,90261,-,-,-,88077,-,-,-
TA50_20_0,125831,125831,125831,130586,-,-,-,126793,-,-,-,125831,28.7386417388916,-,-
TA50_20_1,119247,119247,119247,121956,-,-,-,120618,-,-,-,119270,-,-,-
TA50_20_2,116459,116459,116459,120287,-,-,-,117826,-,-,-,116536,-,-,-
TA50_20_3,120261,120261,120261,124228,-,-,-,121644,-,-,-,120923,-,-,-
TA50_20_4,118184,118184,118184,124893,-,-,-,120002,-,-,-,118379,-,-,-
TA50_20_5,120586,120586,120586,125649,-,-,-,122282,-,-,-,120586,1.4106991291046143,-,-
TA50_20_6,122880,122880,122880,128398,-,-,-,125022,-,-,-,123120,-,-,-
TA50_20_7,122489,122489,122489,127015,-,-,-,124558,-,-,-,122583,-,-,-
TA50_20_8,121872,121872,121872,125541,-,-,-,123333,-,-,-,121872,6.05080509185791,-,-
TA50_20_9,123954,123954,123954,129563,-,-,-,126014,-,-,-,124158,-,-,-
TA100_5_0,253167,253167,253167,265525,-,-,-,268906,-,-,-,252687,0.11934033781290054,0.11934033781290054,-
TA100_5_1,241925,241989,241925,250401,-,-,-,278269,-,-,-,241593,0.9451441764831543,0.9451441764831543,-
TA100_5_2,237832,237832,237832,246535,-,-,-,253154,-,-,-,237289,0.06008318439126015,0.06008318439126015,-
TA100_5_3,227522,227738,227522,235802,-,-,-,247315,-,-,-,227345,0.5560929775238037,0.5560929775238037,-
TA100_5_4,240301,240301,240301,248121,-,-,-,266345,-,-,-,240138,0.9107831716537476,0.9107831716537476,-
TA100_5_5,232247,232247,232342,239852,-,-,-,266119,-,-,-,231973,0.5574219226837158,0.5574219226837158,-
TA100_5_6,240366,240366,240366,248758,-,-,-,247887,-,-,-,240111,0.9365543127059937,0.9365543127059937,-
TA100_5_7,230866,230866,230945,239870,-,-,-,247279,-,-,-,230290,0.03165683522820473,0.03165683522820473,-
TA100_5_8,247526,247771,247526,256314,-,-,-,272955,-,-,-,247362,1.8802615404129028,1.8802615404129028,-
TA100_5_9,242933,242933,242933,253771,-,-,-,255714,-,-,-,243209,-,-,-
TA100_10_0,298385,298385,298385,314280,-,-,-,305538,-,-,-,296990,0.2964974641799927,0.2964974641799927,-
TA100_10_1,273674,273674,273674,296005,-,-,-,283485,-,-,-,273014,0.5712035894393921,0.5712035894393921,-
TA100_10_2,288114,288114,288114,311266,-,-,-,293965,-,-,-,287420,2.069988489151001,2.069988489151001,-
TA100_10_3,301044,301044,301044,321618,-,-,-,315145,-,-,-,299467,0.28721702098846436,0.28721702098846436,-
TA100_10_4,284148,284148,284233,305476,-,-,-,290708,-,-,-,283260,0.28992342948913574,0.28992342948913574,-
TA100_10_5,269686,269686,269686,290751,-,-,-,287100,-,-,-,268324,1.9823931455612183,1.9823931455612183,-
TA100_10_6,279463,279463,279463,300552,-,-,-,287580,-,-,-,279565,-,-,-
TA100_10_7,290703,290703,290908,305127,-,-,-,300216,-,-,-,289334,0.12068983167409897,0.12068983167409897,-
TA100_10_8,301970,301970,301970,325115,-,-,-,323440,-,-,-,301005,1.0506181716918945,1.0506181716918945,-
TA100_10_9,291283,291283,291283,307051,-,-,-,306848,-,-,-,290038,0.5403381586074829,0.5403381586074829,-
TA100_20_0,365463,365463,365463,392311,-,-,-,370167,-,-,-,365333,43.02816390991211,43.02816390991211,-
TA100_20_1,372001,372001,372449,407038,-,-,-,376970,-,-,-,370605,2.4296154975891113,2.4296154975891113,-
TA100_20_2,370027,370027,370027,401368,-,-,-,372714,-,-,-,368971,2.469623565673828,2.469623565673828,-
TA100_20_3,372393,372393,372393,406787,-,-,-,379247,-,-,-,371738,43.56256103515625,43.56256103515625,-
TA100_20_4,368915,368915,368915,391782,-,-,-,373343,-,-,-,367702,4.802896499633789,4.802896499633789,-
TA100_20_5,370908,370908,370908,399542,-,-,-,378387,-,-,-,369821,1.1918786764144897,1.1918786764144897,-
TA100_20_6,373408,373408,373408,398843,-,-,-,378557,-,-,-,372176,9.84742546081543,9.84742546081543,-
TA100_20_7,384525,384525,384525,410457,-,-,-,388061,-,-,-,382766,4.988548278808594,4.988548278808594,-
TA100_20_8,374423,374423,374423,403129,-,-,-,379203,-,-,-,372817,2.415527105331421,2.415527105331421,-
TA100_20_9,379296,379296,379296,405939,-,-,-,383907,-,-,-,378566,20.587120056152344,20.587120056152344,-
TA200_10_0,1041023,1042452,1041023,1149750,-,-,-,1093248,-,-,-,1035999,1.8954596519470215,1.8954596519470215,-
TA200_10_1,1028775,1028775,1028828,1121629,-,-,-,1059154,-,-,-,1024752,1.8215782642364502,1.8215782642364502,-
TA200_10_2,1042357,1043631,1042357,1135268,-,-,-,1111365,-,-,-,1038814,7.204450607299805,7.204450607299805,-
TA200_10_3,1023188,1023188,1025564,1121211,-,-,-,1108644,-,-,-,1019215,1.8516325950622559,1.8516325950622559,-
TA200_10_4,1028506,1028506,1028963,1138904,-,-,-,1095174,-,-,-,1024759,1.755079746246338,1.755079746246338,-
TA200_10_5,998340,998686,998340,1105011,-,-,-,1043782,-,-,-,994661,0.9609248042106628,0.9609248042106628,-
TA200_10_6,1042570,1042570,1042570,1161098,-,-,-,1091020,-,-,-,1038357,0.4291203022003174,0.4291203022003174,-
TA200_10_7,1035915,1035945,1035915,1169139,-,-,-,1105232,-,-,-,1033303,1.9445948600769043,1.9445948600769043,-
TA200_10_8,1015280,1015560,1015280,1114700,-,-,-,1067984,-,-,-,1011878,1.8637683391571045,1.8637683391571045,-
TA200_10_9,1021633,1021633,1021865,1131297,-,-,-,1103154,-,-,-,1017386,0.9059250354766846,0.9059250354766846,-
TA200_20_0,1219341,1221768,1219341,1370132,-,-,-,1226628,-,-,-,1205091,0.6319047808647156,0.6319047808647156,-
TA200_20_1,1231880,1231880,1233161,1377529,-,-,-,1252708,-,-,-,1224536,4.276549816131592,4.276549816131592,-
TA200_20_2,1254822,1254822,1259605,1416009,-,-,-,1274847,-,-,-,1248190,4.215242862701416,4.215242862701416,-
TA200_20_3,1226654,1226654,1228027,1383352,-,-,-,1244838,-,-,-,1217648,8.627815246582031,8.627815246582031,-
TA200_20_4,1215411,1215411,1215854,1371236,-,-,-,1239778,-,-,-,1203033,1.0608575344085693,1.0608575344085693,-
TA200_20_5,1218757,1219698,1218757,1400036,-,-,-,1231259,-,-,-,1207770,2.1215176582336426,2.1215176582336426,-
TA200_20_6,1234330,1237014,1234330,1382521,-,-,-,1253686,-,-,-,1224492,1.0635088682174683,1.0635088682174683,-
TA200_20_7,1233257,1233257,1240105,1400812,-,-,-,1245683,-,-,-,1222559,1.0535731315612793,1.0535731315612793,-
TA200_20_8,1220058,1222431,1220058,1353459,-,-,-,1236171,-,-,-,1212081,8.5332612991333,8.5332612991333,-
TA200_20_9,1234864,1234864,1235113,1382148,-,-,-,1253028,-,-,-,1229039,4.333486080169678,4.333486080169678,-
TA500_20_0,6558109,6562522,6558109,7734380,-,-,-,6676115,-,-,-,6529840,50.11009216308594,50.11009216308594,-
TA500_20_1,6678713,6678713,6679339,7880256,-,-,-,6888128,-,-,-,6642805,24.667564392089844,24.667564392089844,-
TA500_20_2,6624644,6632299,6624644,7812641,-,-,-,6736706,-,-,-,6585806,12.415511131286621,12.415511131286621,-
TA500_20_3,6633622,6633622,6646006,7847386,-,-,-,6821413,-,-,-,6601961,24.709003448486328,24.709003448486328,-
TA500_20_4,6587110,6609322,6587110,7888643,-,-,-,6888117,-,-,-,6556492,24.96072769165039,24.96072769165039,-
TA500_20_5,6602685,6605982,6602685,7774828,-,-,-,6730164,-,-,-,6563223,6.118271827697754,6.118271827697754,-
TA500_20_6,6576047,6576412,6576047,7767392,-,-,-,6728955,-,-,-,6530456,12.443074226379395,12.443074226379395,-
TA500_20_7,6628915,6628915,6629065,7797038,-,-,-,6858909,-,-,-,6594903,25.152423858642578,25.152423858642578,-
TA500_20_8,6569013,6569013,6587638,7803676,-,-,-,6780614,-,-,-,6532742,50.578121185302734,50.578121185302734,-
TA500_20_9,6614629,6614629,6623849,7763968,-,-,-,6785568,-,-,-,6589096,49.59477615356445,49.59477615356445,-
