instance,best_known,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
TA20_5_0,1278,1297,-,-,1278,0.04828125238418579,0.04868500307202339,1291,-,-,1278,0.2299840897321701,0.23507092893123627,1297,-,-,1278,0.1416824758052826,0.14521987736225128,1309,-,-,1278,0.025569071993231773,0.027168115600943565,1297,-,-,1278,0.002012063981965184,0.024574460461735725,1278,-,-,1278,-,-,1278,-,-
TA20_5_1,1359,1359,0.006135654170066118,0.007961584255099297,1359,0.0064426991157233715,0.0074134268797934055,1359,0.12901577353477478,0.13126243650913239,1359,0.1412782520055771,0.14393436908721924,1359,0.09965870529413223,0.100845567882061,1359,0.12196555733680725,0.12347240746021271,1367,-,-,1359,0.07773058861494064,0.07980135828256607,1367,-,-,1359,0.06668213754892349,0.0671032965183258,1359,-,-,1359,-,-,1359,-,-
TA20_5_2,1081,1091,-,-,1081,0.010843276046216488,0.011796480976045132,1081,0.3167021870613098,-,1081,0.01035836897790432,0.012363489717245102,1081,0.3055620491504669,-,1081,0.012772570364177227,0.013997644186019897,1107,-,-,1081,0.020403459668159485,0.042827025055885315,1160,-,-,1081,0.013493423350155354,0.02880479022860527,1081,-,-,1081,-,-,1081,-,-
TA20_5_3,1293,1388,-,-,1293,0.020538445562124252,0.031559333205223083,1301,-,-,1293,0.006306924857199192,0.00771505618467927,1301,-,-,1293,0.007033338770270348,0.007564585190266371,1402,-,-,1293,0.023298030719161034,0.025996588170528412,1402,-,-,1293,0.0030212749261409044,0.004769457969814539,1293,-,-,1293,-,-,1293,-,-
TA20_5_4,1235,1311,-,-,1235,0.16234028339385986,0.18189512193202972,1311,-,-,1235,0.040873102843761444,0.08413033932447433,1301,-,-,1235,0.03796352818608284,0.07087910175323486,1271,-,-,1235,0.019722063094377518,0.10044807940721512,1277,-,-,1235,0.05200330168008804,0.06998120248317719,1235,-,-,1235,-,-,1235,-,-
TA20_5_5,1195,1210,-,-,1195,0.0008412249735556543,0.011768702417612076,1225,-,4.506243705749512,1195,0.15139898657798767,0.15437212586402893,1225,-,-,1195,0.011514684185385704,0.011861030012369156,1255,-,-,1195,0.07277218252420425,0.0733279138803482,1283,-,-,1195,0.0015008259797468781,0.07106736302375793,1195,-,-,1195,-,-,1195,-,-
TA20_5_6,1234,1234,2.593320846557617,-,1234,0.0007120239897631109,0.001252494053915143,1259,-,-,1234,0.0484938845038414,0.05132443085312843,1259,-,-,1234,0.020249735563993454,0.021327156573534012,1251,-,-,1234,0.02934124879539013,0.031024495139718056,1283,-,-,1234,0.0012917770072817802,0.011353620328009129,1234,-,-,1234,-,-,1234,-,-
TA20_5_7,1206,1211,-,-,1206,0.03705954551696777,0.04878825694322586,1206,0.08486001938581467,-,1206,0.004341146908700466,0.005607575178146362,1206,0.0877053514122963,-,1206,0.005914024077355862,0.00699742091819644,1302,-,-,1206,0.004020335152745247,0.004644149914383888,1213,-,-,1206,0.0012216069735586643,0.0031387379858642817,1206,-,-,1206,-,-,1206,-,-
TA20_5_8,1230,1240,-,-,1230,0.008125864900648594,0.00979658029973507,1253,-,-,1230,0.061025697737932205,0.061806824058294296,1240,-,-,1230,0.049177009612321854,0.05004337430000305,1278,-,-,1230,0.03274145722389221,0.033595118671655655,1298,-,-,1230,0.0052686771377921104,0.0061641111969947815,1230,-,-,1230,-,-,1230,-,-
TA20_5_9,1108,1117,-,-,1108,0.013999107293784618,0.025468720123171806,1111,-,-,1108,0.010276026092469692,0.012649604119360447,1111,-,-,1108,0.006524039898067713,0.010903514921665192,1127,-,-,1108,0.0047128829173743725,0.006295256782323122,1162,-,-,1108,0.002490848070010543,0.003491444978863001,1108,-,-,1108,-,-,1108,-,-
TA20_10_0,1582,1586,-,-,1582,1.1971471309661865,1.197648048400879,1582,4.527706146240234,-,1582,0.2943316102027893,1.1576862335205078,1582,3.86271595954895,-,1582,0.2559870183467865,1.1262331008911133,1651,-,-,1582,0.05435662716627121,1.1580485105514526,1651,-,-,1582,1.3354018926620483,1.3357120752334595,1582,-,-,1582,-,-,1582,-,-
TA20_10_1,1659,1683,-,-,1659,0.6232613325119019,0.8526620864868164,1669,-,-,1659,3.1750545501708984,3.45886492729187,1669,-,-,1659,1.4652729034423828,1.7029001712799072,1766,-,-,1659,0.03601255267858505,0.7148661017417908,1766,-,-,1659,0.6408162713050842,0.8731650114059448,1659,-,-,1659,-,-,1659,-,-
TA20_10_2,1496,1525,-,-,1496,1.5226714611053467,1.9290740489959717,1502,-,-,1496,1.6410653591156006,2.099140167236328,1501,-,-,1496,0.9998037219047546,1.4604583978652954,1639,-,-,1496,0.12676364183425903,1.1832183599472046,1639,-,-,1496,1.2245724201202393,1.6406594514846802,1496,-,-,1496,-,-,1496,-,-
TA20_10_3,1377,1397,-,-,1377,0.17898595333099365,0.1792694628238678,1377,6.369695663452148,-,1377,0.3855687975883484,0.42162269353866577,1377,5.256030082702637,-,1377,0.1136765107512474,0.21668091416358948,1531,-,-,1377,0.21929574012756348,0.28527912497520447,1471,-,-,1377,0.27842962741851807,0.2787085771560669,1377,-,-,1377,-,-,1377,-,-
TA20_10_4,1419,1431,-,-,1419,0.5086706280708313,0.5815972089767456,1419,0.09239975363016129,-,1419,2.091749429702759,2.1712727546691895,1419,0.06798142939805984,-,1419,0.5095044374465942,0.5866757035255432,1578,-,-,1419,0.2727258801460266,0.5221323370933533,1578,-,-,1419,0.4111725986003876,0.48263147473335266,1419,-,-,1419,-,-,1419,-,-
TA20_10_5,1397,1424,-,-,1397,0.11061486601829529,0.11758788675069809,1411,-,-,1397,0.6478074193000793,0.6690301895141602,1412,-,-,1397,0.5697722434997559,0.5772699117660522,1542,-,-,1397,0.06544096767902374,0.07183592766523361,1542,-,-,1397,0.13817764818668365,0.1528426855802536,1397,-,-,1397,-,-,1397,-,-
TA20_10_6,1484,1515,-,-,1484,5.322525978088379,-,1513,-,-,1524,-,-,1505,-,-,1524,-,-,1609,-,-,1484,1.2278618812561035,-,1557,-,-,1484,5.2904253005981445,-,1484,-,-,1484,-,-,1484,-,-
TA20_10_7,1538,1595,-,-,1538,1.0216275453567505,1.2739945650100708,1544,-,-,1538,2.501218795776367,2.5015158653259277,1544,-,-,1538,2.7055916786193848,2.7061944007873535,1672,-,-,1538,0.2001665085554123,0.7319823503494263,1664,-,-,1538,0.9543591141700745,1.230217456817627,1538,-,-,1538,-,-,1538,-,-
TA20_10_8,1593,1614,-,-,1593,0.03165128827095032,0.03260001540184021,1593,1.8168730735778809,-,1593,0.19869045913219452,0.19902552664279938,1593,2.058505058288574,-,1593,0.09013304859399796,0.09080560505390167,1689,-,-,1593,0.18148525059223175,0.1839788407087326,1689,-,-,1593,0.08552905172109604,0.08619402348995209,1593,-,-,1593,-,-,1593,-,-
TA20_10_9,1591,1690,-,-,1591,2.9771509170532227,3.7462735176086426,1604,-,-,1591,5.293062210083008,5.293406963348389,1625,-,-,1591,5.410343647003174,5.411083698272705,1770,-,-,1591,0.04627343639731407,2.277595043182373,1757,-,-,1591,3.1197352409362793,3.915480613708496,1591,-,-,1591,-,-,1591,-,-
TA20_20_0,2297,2386,-,-,2325,-,-,2354,-,-,2319,-,-,2354,-,18.010452270507812,2319,-,18.039682388305664,2442,-,-,2300,-,-,2442,-,-,2325,-,-,2297,-,-,2297,-,-,2297,-,-
TA20_20_1,2099,2174,-,-,2119,-,-,2101,-,-,2181,-,-,2101,-,-,2181,-,-,2301,-,-,2101,-,-,2301,-,-,2119,-,-,2099,-,-,2099,-,-,2099,-,-
TA20_20_2,2326,2434,-,-,2346,-,-,2383,-,-,2390,-,-,2385,-,-,2390,-,-,2487,-,-,2344,-,-,2487,-,-,2346,-,-,2326,-,-,2326,-,-,2326,-,-
TA20_20_3,2223,2271,-,-,2238,-,-,2229,-,-,2250,-,-,2233,-,-,2247,-,-,2437,-,-,2237,-,-,2437,-,-,2241,-,-,2223,-,-,2223,-,-,2223,-,-
TA20_20_4,2291,2401,-,-,2313,-,-,2319,-,-,2304,-,-,2331,-,-,2303,-,-,2458,-,-,2297,-,-,2458,-,18.018613815307617,2313,-,-,2291,-,-,2291,-,-,2291,-,-
TA20_20_5,2226,2258,-,-,2241,-,-,2228,-,18.012950897216797,2244,-,-,2228,-,-,2244,-,-,2367,-,-,2229,-,18.009130477905273,2367,-,-,2241,-,-,2226,-,-,2226,-,-,2226,-,-
TA20_20_6,2273,2325,-,-,2305,-,-,2273,0.28844398260116577,18.03350067138672,2293,-,-,2273,0.23396211862564087,-,2293,-,-,2436,-,-,2291,-,-,2404,-,-,2295,-,-,2273,-,-,2273,-,-,2273,-,-
TA20_20_7,2200,2339,-,-,2200,13.765230178833008,-,2227,-,-,2212,-,-,2222,-,-,2212,-,-,2405,-,-,2200,16.08408546447754,-,2399,-,-,2200,15.324164390563965,-,2200,-,-,2200,-,-,2200,-,-
TA20_20_8,2237,2303,-,-,2237,8.171195030212402,-,2240,-,-,2341,-,-,2240,-,-,2341,-,-,2416,-,-,2237,0.34463411569595337,-,2416,-,-,2237,8.514355659484863,-,2237,-,-,2237,-,-,2237,-,-
TA20_20_9,2178,2235,-,-,2178,6.695164680480957,-,2178,14.418298721313477,-,2267,-,-,2178,14.934290885925293,-,2267,-,-,2321,-,-,2178,0.169785276055336,-,2373,-,-,2178,6.815037250518799,-,2178,-,-,2178,-,-,2178,-,-
TA50_5_0,2724,2724,4.66562557220459,-,2724,0.0013531260192394257,0.001798621960915625,2752,-,-,2724,0.017163768410682678,0.01761196181178093,2752,-,-,2724,0.016023194417357445,0.01661962829530239,2880,-,-,2729,-,-,2853,-,-,2724,0.0019749959465116262,0.002469578990712762,2724,-,-,2724,-,-,2724,-,-
TA50_5_1,2834,2855,-,-,2834,0.0008139929850585759,0.0011317620519548655,2834,0.4624902904033661,0.4637051224708557,2834,0.1340259313583374,0.13467350602149963,2834,0.08656733483076096,0.0871388167142868,2834,0.15453852713108063,0.1555606722831726,3018,-,-,2834,2.6560676097869873,2.699725866317749,3018,-,-,2834,0.004882303066551685,0.00526628689840436,2834,-,-,2834,-,-,2834,-,-
TA50_5_2,2621,2647,-,-,2621,0.003091075923293829,0.01413373090326786,2647,-,-,2621,0.04268927872180939,0.04315727949142456,2648,-,-,2621,0.04969672113656998,0.050155140459537506,2838,-,-,2622,-,-,2750,-,-,2621,0.021595444530248642,0.022121159359812737,2621,-,-,2621,-,-,2621,-,-
TA50_5_3,2751,2764,-,-,2751,0.0007914769812487066,0.0011143969604745507,2770,-,-,2751,0.15858225524425507,0.15958088636398315,2770,-,-,2751,0.6597417593002319,0.6627177596092224,3020,-,-,2751,0.36902037262916565,0.37168508768081665,2922,-,-,2751,0.0017335519660264254,0.003538053948432207,2751,-,-,2751,-,-,2751,-,-
TA50_5_4,2863,2863,0.3439468741416931,-,2863,0.009161947295069695,0.009764106012880802,2864,-,-,2863,0.007451922167092562,0.007828411646187305,2864,-,-,2863,0.07838023453950882,0.07879510521888733,3057,-,-,2863,0.06213171035051346,0.06293395906686783,3057,-,-,2863,0.004704571794718504,0.005310597829520702,2863,-,-,2863,-,-,2863,-,-
TA50_5_5,2829,2845,-,-,2829,0.0011208560317754745,0.001570650958456099,2864,-,-,2829,0.7098515629768372,0.7128965258598328,2876,-,-,2829,0.09012749046087265,0.0907924547791481,3005,-,-,2829,2.7486677169799805,2.764187812805176,2980,-,-,2829,0.004664270207285881,0.016417203471064568,2829,-,-,2829,-,-,2829,-,-
TA50_5_6,2725,2746,-,-,2725,0.0017822469817474484,0.02340511605143547,2745,-,-,2725,0.09267523139715195,0.0951879546046257,2745,-,-,2725,0.17353051900863647,0.17454279959201813,2976,-,-,2735,-,-,2976,-,-,2725,0.005959878209978342,0.0064039211720228195,2725,-,-,2725,-,-,2725,-,-
TA50_5_7,2683,2708,-,-,2683,0.00034738099202513695,0.0007557030185125768,2705,-,-,2683,0.02899395115673542,0.029426556080579758,2705,-,-,2683,0.014274397864937782,0.014650832861661911,2923,-,-,2683,0.3623032867908478,0.3642385005950928,2902,-,-,2683,0.0003963630006182939,0.0008195459959097207,2683,-,-,2683,-,-,2683,-,-
TA50_5_8,2552,2576,-,-,2552,0.0007905500242486596,0.001125604030676186,2627,-,-,2552,0.18297432363033295,0.18402452766895294,2640,-,-,2552,0.3295460045337677,0.331265389919281,2778,-,-,2552,1.3621114492416382,1.3704533576965332,2716,-,-,2552,0.004573035053908825,0.005091920029371977,2552,-,-,2552,-,-,2552,-,-
TA50_5_9,2782,2783,-,-,2782,0.0017682630568742752,0.006826612167060375,2786,-,-,2782,0.7047143578529358,0.7074124813079834,2789,-,-,2782,0.360576331615448,0.3621142506599426,2994,-,-,2782,2.9892773628234863,3.03861665725708,2957,-,-,2782,0.0018309029983356595,0.0031244370620697737,2782,-,-,2782,-,-,2782,-,-
TA50_10_0,2991,3143,-,-,2991,0.304629385471344,0.4739847779273987,3112,-,-,3090,-,-,3037,-,-,3044,-,-,3579,-,-,3007,-,-,3579,-,-,2991,0.44798845052719116,0.5415045619010925,3022,-,-,3014,-,-,3022,-,-
TA50_10_1,2867,3078,-,-,2890,-,-,2911,-,-,3036,-,-,2911,-,-,3047,-,-,3411,-,-,2870,-,-,3411,-,-,2891,-,-,2873,-,-,2874,-,-,2870,-,-
TA50_10_2,2839,3043,-,-,2839,18.217233657836914,21.838722229003906,2897,-,-,2920,-,-,2913,-,-,2917,-,-,3393,-,-,2859,-,-,3434,-,-,2839,20.59745216369629,22.5633602142334,2852,-,-,2852,-,-,2852,-,-
TA50_10_3,3063,3153,-,-,3063,0.0805472731590271,0.08282823115587234,3103,-,-,3144,-,-,3102,-,-,3119,-,-,3557,-,-,3073,-,-,3499,-,-,3063,0.08897905796766281,0.0894717425107956,3063,-,-,3063,-,-,3063,-,-
TA50_10_4,2976,3163,-,-,2976,0.7558363080024719,0.8045534491539001,3039,-,-,3125,-,-,3060,-,-,3102,-,-,3509,-,-,3014,-,-,3577,-,-,2976,0.4923205077648163,0.5429961681365967,2981,-,-,2977,-,-,2977,-,-
TA50_10_5,3006,3105,-,-,3006,0.11958444863557816,0.12065675109624863,3069,-,-,3147,-,-,3075,-,-,3063,-,-,3478,-,-,3020,-,-,3478,-,-,3006,0.03273869678378105,0.033999618142843246,3006,-,-,3006,-,-,3006,-,-
TA50_10_6,3093,3312,-,-,3093,4.988711357116699,4.989406585693359,3309,-,-,3227,-,-,3313,-,-,3199,-,-,3603,-,-,3127,-,-,3570,-,-,3093,3.594526529312134,3.595315456390381,3101,-,-,3098,-,-,3098,-,-
