VFR100_20_1,6121
VFR100_20_2,6224
VFR100_20_3,6157
VFR100_20_4,6173
VFR100_20_5,6221
VFR100_20_6,6074
VFR100_20_7,6328
VFR100_20_8,6023
VFR100_20_9,6267
VFR100_20_10,6048
VFR100_40_1,7840
VFR100_40_2,7913
VFR100_40_3,7889
VFR100_40_4,7895
VFR100_40_5,7968
VFR100_40_6,7957
VFR100_40_7,7888
VFR100_40_8,7917
VFR100_40_9,7853
VFR100_40_10,7894
VFR100_60_1,9326
VFR100_60_2,9403
VFR100_60_3,9316
VFR100_60_4,9366
VFR100_60_5,9346
VFR100_60_6,9523
VFR100_60_7,9326
VFR100_60_8,9507
VFR100_60_9,9480
VFR100_60_10,9349
VFR200_20_1,11181
VFR200_20_2,11188
VFR200_20_3,11143
VFR200_20_4,11090
VFR200_20_5,11076
VFR200_20_6,11128
VFR200_20_7,11091
VFR200_20_8,11041
VFR200_20_9,11008
VFR200_20_10,11193
VFR200_40_1,13077
VFR200_40_2,13027
VFR200_40_3,12974
VFR200_40_4,13061
VFR200_40_5,12927
VFR200_40_6,13023
VFR200_40_7,13033
VFR200_40_8,13089
VFR200_40_9,13042
VFR200_40_10,13091
VFR200_60_1,14861
VFR200_60_2,14890
VFR200_60_3,15042
VFR200_60_4,14918
VFR200_60_5,15006
VFR200_60_6,14894
VFR200_60_7,14925
VFR200_60_8,14852
VFR200_60_9,14867
VFR200_60_10,14881
VFR300_20_1,15996
VFR300_20_2,16168
VFR300_20_3,16010
VFR300_20_4,16052
VFR300_20_5,16244
VFR300_20_6,16021
VFR300_20_7,16188
VFR300_20_8,16287
VFR300_20_9,16203
VFR300_20_10,16129
VFR300_40_1,18056
VFR300_40_2,18224
VFR300_40_3,18249
VFR300_40_4,18095
VFR300_40_5,18198
VFR300_40_6,18177
VFR300_40_7,18202
VFR300_40_8,18193
VFR300_40_9,18093
VFR300_40_10,18135
VFR300_60_1,20397
VFR300_60_2,20224
VFR300_60_3,20200
VFR300_60_4,20203
VFR300_60_5,20156
VFR300_60_6,20180
VFR300_60_7,20285
VFR300_60_8,20291
VFR300_60_9,20249
VFR300_60_10,20290
VFR400_20_1,20952
VFR400_20_2,21237
VFR400_20_3,21379
VFR400_20_4,21125
VFR400_20_5,16245
VFR400_20_6,21075
VFR400_20_7,21293
VFR400_20_8,21198
VFR400_20_9,21236
VFR400_20_10,21428
VFR400_40_1,23139
VFR400_40_2,23037
VFR400_40_3,23202
VFR400_40_4,22894
VFR400_40_5,22947
VFR400_40_6,23092
VFR400_40_7,23184
VFR400_40_8,23131
VFR400_40_9,23323
VFR400_40_10,23348
VFR400_60_1,25292
VFR400_60_2,25473
VFR400_60_3,25541
VFR400_60_4,25407
VFR400_60_5,25415
VFR400_60_6,25350
VFR400_60_7,25372
VFR400_60_8,25469
VFR400_60_9,25549
VFR400_60_10,25556
VFR500_20_1,26253
VFR500_20_2,26080
VFR500_20_3,26268
VFR500_20_4,25994
VFR500_20_5,26409
VFR500_20_6,26305
VFR500_20_7,26313
VFR500_20_8,26034
VFR500_20_9,26345
VFR500_20_10,26024
VFR500_40_1,28129
VFR500_40_2,28308
VFR500_40_3,28235
VFR500_40_4,28329
VFR500_40_5,28283
VFR500_40_6,28134
VFR500_40_7,28323
VFR500_40_8,28307
VFR500_40_9,28406
VFR500_40_10,28324
VFR500_60_1,30429
VFR500_60_2,30480
VFR500_60_3,30553
VFR500_60_4,30672
VFR500_60_5,30540
VFR500_60_6,30597
VFR500_60_7,30528
VFR500_60_8,30465
VFR500_60_9,30515
VFR500_60_10,30787
VFR600_20_1,31303
VFR600_20_2,31281
VFR600_20_3,31374
VFR600_20_4,31417
VFR600_20_5,31323
VFR600_20_6,31523
VFR600_20_7,31461
VFR600_20_8,31107
VFR600_20_9,31397
VFR600_20_10,31021
VFR600_40_1,33339
VFR600_40_2,33200
VFR600_40_3,33401
VFR600_40_4,33235
VFR600_40_5,33188
VFR600_40_6,33298
VFR600_40_7,33409
VFR600_40_8,33068
VFR600_40_9,33270
VFR600_40_10,33308
VFR600_60_1,35504
VFR600_60_2,35450
VFR600_60_3,35670
VFR600_60_4,35610
VFR600_60_5,35466
VFR600_60_6,35617
VFR600_60_7,35741
VFR600_60_8,35368
VFR600_60_9,35693
VFR600_60_10,35597
VFR700_20_1,36285
VFR700_20_2,36220
VFR700_20_3,36419
VFR700_20_4,36361
VFR700_20_5,36496
VFR700_20_6,36492
VFR700_20_7,36315
VFR700_20_8,36386
VFR700_20_9,36212
VFR700_20_10,36362
VFR700_40_1,38550
VFR700_40_2,38291
VFR700_40_3,38141
VFR700_40_4,38430
VFR700_40_5,38267
VFR700_40_6,38291
VFR700_40_7,38058
VFR700_40_8,38693
VFR700_40_9,38413
VFR700_40_10,38460
VFR700_60_1,40615
VFR700_60_2,40664
VFR700_60_3,40581
VFR700_60_4,40491
VFR700_60_5,40650
VFR700_60_6,40472
VFR700_60_7,40171
VFR700_60_8,40797
VFR700_60_9,40421
VFR700_60_10,40682
VFR800_20_1,41413
VFR800_20_2,41282
VFR800_20_3,41319
VFR800_20_4,41375
VFR800_20_5,41395
VFR800_20_6,41435
VFR800_20_7,41342
VFR800_20_8,41390
VFR800_20_9,41345
VFR800_20_10,41399
VFR800_40_1,43221
VFR800_40_2,43326
VFR800_40_3,43255
VFR800_40_4,43499
VFR800_40_5,43484
VFR800_40_6,43256
VFR800_40_7,43311
VFR800_40_8,43387
VFR800_40_9,43389
VFR800_40_10,43392
VFR800_60_1,45683
VFR800_60_2,45714
VFR800_60_3,45627
VFR800_60_4,45558
VFR800_60_5,45614
VFR800_60_6,45477
VFR800_60_7,45524
VFR800_60_8,45510
VFR800_60_9,45808
VFR800_60_10,45383
