instance,best_igrms,best_VBIH
 VFR100_20_1_Gap,6176,6173
 VFR100_20_10_Gap,6119,6221
 VFR100_20_2_Gap,6267,6227
 VFR100_20_3_Gap,6210,6264
 VFR100_20_4_Gap,6223,6285
 VFR100_20_5_Gap,6260,6401
 VFR100_20_6_Gap,6274,6074
 VFR100_20_7_Gap,6411,6328
 VFR100_20_8_Gap,6074,6125
 VFR100_20_9_Gap,6324,6267
 VFR100_40_1_Gap,7840,7846
 VFR100_40_10_Gap,7894,7894
 VFR100_40_2_Gap,7957,7913
 VFR100_40_3_Gap,7889,7997
 VFR100_40_4_Gap,7895,7993
 VFR100_40_5_Gap,7968,7980
 VFR100_40_6_Gap,7988,7957
 VFR100_40_7_Gap,7956,7888
 VFR100_40_8_Gap,7936,7917
 VFR100_40_9_Gap,7853,7976
 VFR100_60_1_Gap,9326,9353
 VFR100_60_10_Gap,9547,9349
 VFR100_60_2_Gap,9513,9403
 VFR100_60_3_Gap,9316,9431
 VFR100_60_4_Gap,9366,9630
 VFR100_60_5_Gap,9391,9346
 VFR100_60_6_Gap,9622,9523
 VFR100_60_7_Gap,9326,9488
 VFR100_60_8_Gap,9507,9572
 VFR100_60_9_Gap,9480,9567
 VFR200_20_1_Gap,11271,11272
 VFR200_20_10_Gap,11286,11294
 VFR200_20_2_Gap,11227,11188
 VFR200_20_3_Gap,11297,11143
 VFR200_20_4_Gap,11175,11310
 VFR200_20_5_Gap,11152,11365
 VFR200_20_6_Gap,11301,11128
 VFR200_20_7_Gap,11347,11091
 VFR200_20_8_Gap,11107,11294
 VFR200_20_9_Gap,11069,11240
 VFR200_40_1_Gap,13077,13124
 VFR200_40_10_Gap,13134,13222
 VFR200_40_2_Gap,13027,13163
 VFR200_40_3_Gap,13197,12974
 VFR200_40_4_Gap,13111,13061
 VFR200_40_5_Gap,12927,13220
 VFR200_40_6_Gap,13023,13132
 VFR200_40_7_Gap,13188,13033
 VFR200_40_8_Gap,13089,13146
 VFR200_40_9_Gap,13042,13049
 VFR200_60_1_Gap,14861,14906
 VFR200_60_10_Gap,14881,15134
 VFR200_60_2_Gap,14890,14968
 VFR200_60_3_Gap,15103,15042
 VFR200_60_4_Gap,14918,14996
 VFR200_60_5_Gap,15020,15006
 VFR200_60_6_Gap,14909,14894
 VFR200_60_7_Gap,14956,14925
 VFR200_60_8_Gap,14852,14908
 VFR200_60_9_Gap,14867,14909
 VFR300_20_1_Gap,16092,16089
 VFR300_20_10_Gap,16794,16129
 VFR300_20_2_Gap,16465,16168
 VFR300_20_3_Gap,16115,16307
 VFR300_20_4_Gap,16125,16095
 VFR300_20_5_Gap,16293,16244
 VFR300_20_6_Gap,16062,16369
 VFR300_20_7_Gap,16228,16324
 VFR300_20_8_Gap,16363,16798
 VFR300_20_9_Gap,16298,16483
 VFR300_40_1_Gap,18127,18199
 VFR300_40_10_Gap,18253,18348
 VFR300_40_2_Gap,18341,18227
 VFR300_40_3_Gap,18276,18343
 VFR300_40_4_Gap,18181,18340
 VFR300_40_5_Gap,18320,18396
 VFR300_40_6_Gap,18250,18290
 VFR300_40_7_Gap,18283,18261
 VFR300_40_8_Gap,18238,18286
 VFR300_40_9_Gap,18226,18373
 VFR300_60_1_Gap,20397,20483
 VFR300_60_10_Gap,20290,20328
 VFR300_60_2_Gap,20224,20293
 VFR300_60_3_Gap,20244,20200
 VFR300_60_4_Gap,20235,20280
 VFR300_60_5_Gap,20156,20358
 VFR300_60_6_Gap,20180,20319
 VFR300_60_7_Gap,20285,20405
 VFR300_60_8_Gap,20291,20385
 VFR300_60_9_Gap,20326,20249
 VFR400_20_1_Gap,21027,21042
 VFR400_20_10_Gap,21524,21428
 VFR400_20_2_Gap,21411,21237
 VFR400_20_3_Gap,21426,21528
 VFR400_20_4_Gap,21231,21188
 VFR400_20_5_Gap,21497,21599
 VFR400_20_6_Gap,21165,21264
 VFR400_20_7_Gap,21580,21293
 VFR400_20_8_Gap,21264,21526
 VFR400_20_9_Gap,21301,21411
 VFR400_40_1_Gap,23362,23393
 VFR400_40_10_Gap,23504,23467
 VFR400_40_2_Gap,23257,23269
 VFR400_40_3_Gap,23405,23213
 VFR400_40_4_Gap,23220,23298
 VFR400_40_5_Gap,23141,23415
 VFR400_40_6_Gap,23292,23290
 VFR400_40_7_Gap,23364,23424
 VFR400_40_8_Gap,23266,23606
 VFR400_40_9_Gap,23457,23380
 VFR400_60_1_Gap,25392,25395
 VFR400_60_10_Gap,25618,25707
 VFR400_60_2_Gap,25498,25638
 VFR400_60_3_Gap,25590,25669
 VFR400_60_4_Gap,25608,25407
 VFR400_60_5_Gap,25615,25415
 VFR400_60_6_Gap,25358,25603
 VFR400_60_7_Gap,25372,25673
 VFR400_60_8_Gap,25541,25658
 VFR400_60_9_Gap,25622,25549
 VFR500_20_1_Gap,26355,26374
 VFR500_20_10_Gap,26043,26359
 VFR500_20_2_Gap,26631,26080
 VFR500_20_3_Gap,26357,26759
 VFR500_20_4_Gap,26058,26411
 VFR500_20_5_Gap,26729,26409
 VFR500_20_6_Gap,26395,26305
 VFR500_20_7_Gap,26401,26430
 VFR500_20_8_Gap,26302,26034
 VFR500_20_9_Gap,26410,26641
 VFR500_40_1_Gap,28362,28402
 VFR500_40_10_Gap,28585,28526
 VFR500_40_2_Gap,28503,28615
 VFR500_40_3_Gap,28374,28579
 VFR500_40_4_Gap,28477,28432
 VFR500_40_5_Gap,28543,28553
 VFR500_40_6_Gap,28248,28488
 VFR500_40_7_Gap,28486,28640
 VFR500_40_8_Gap,28435,28644
 VFR500_40_9_Gap,28640,28613
 VFR500_60_1_Gap,30609,30682
 VFR500_60_10_Gap,30828,30852
 VFR500_60_2_Gap,30597,30793
 VFR500_60_3_Gap,30823,30763
 VFR500_60_4_Gap,30796,30788
 VFR500_60_5_Gap,30700,30826
 VFR500_60_6_Gap,30829,30837
 VFR500_60_7_Gap,30733,30805
 VFR500_60_8_Gap,30729,30866
 VFR500_60_9_Gap,30785,30664
 VFR600_20_1_Gap,31359,31372
 VFR600_20_10_Gap,31107,31429
 VFR600_20_2_Gap,31372,31487
 VFR600_20_3_Gap,31412,31407
 VFR600_20_4_Gap,31480,31696
 VFR600_20_5_Gap,31387,31527
 VFR600_20_6_Gap,31668,31523
 VFR600_20_7_Gap,31483,31532
 VFR600_20_8_Gap,31465,31107
 VFR600_20_9_Gap,31514,31397
 VFR600_40_1_Gap,33618,33683
 VFR600_40_10_Gap,33396,33713
 VFR600_40_2_Gap,33356,33584
 VFR600_40_3_Gap,33612,33401
 VFR600_40_4_Gap,33477,33626
 VFR600_40_5_Gap,33307,33545
 VFR600_40_6_Gap,33552,33298
 VFR600_40_7_Gap,33492,33567
 VFR600_40_8_Gap,33282,33473
 VFR600_40_9_Gap,33422,33405
 VFR600_60_1_Gap,35863,35976
 VFR600_60_10_Gap,35804,35917
 VFR600_60_2_Gap,35791,36000
 VFR600_60_3_Gap,35896,36004
 VFR600_60_4_Gap,35883,35943
 VFR600_60_5_Gap,35929,35965
 VFR600_60_6_Gap,35828,35894
 VFR600_60_7_Gap,35882,35987
 VFR600_60_8_Gap,35784,35943
 VFR600_60_9_Gap,35935,35923
 VFR700_20_1_Gap,36354,36388
 VFR700_20_10_Gap,36376,36519
 VFR700_20_2_Gap,36303,36380
 VFR700_20_3_Gap,36487,36556
 VFR700_20_4_Gap,36379,36645
 VFR700_20_5_Gap,36547,36597
 VFR700_20_6_Gap,36610,36492
 VFR700_20_7_Gap,36609,36315
 VFR700_20_8_Gap,36481,36386
 VFR700_20_9_Gap,36290,36316
 VFR700_40_1_Gap,38720,38767
 VFR700_40_10_Gap,38647,38460
 VFR700_40_2_Gap,38499,38597
 VFR700_40_3_Gap,38393,38490
 VFR700_40_4_Gap,38593,38440
 VFR700_40_5_Gap,38430,38355
 VFR700_40_6_Gap,38336,38817
 VFR700_40_7_Gap,38287,38569
 VFR700_40_8_Gap,38766,38712
 VFR700_40_9_Gap,38452,38560
 VFR700_60_1_Gap,41125,41192
 VFR700_60_10_Gap,41093,41173
 VFR700_60_2_Gap,41008,41120
 VFR700_60_3_Gap,40961,41167
 VFR700_60_4_Gap,41070,41159
 VFR700_60_5_Gap,41022,40734
 VFR700_60_6_Gap,40994,41305
 VFR700_60_7_Gap,40572,41111
 VFR700_60_8_Gap,41121,41186
 VFR700_60_9_Gap,40930,41002
 VFR800_20_1_Gap,41477,41479
 VFR800_20_10_Gap,41561,41399
 VFR800_20_2_Gap,41337,41426
 VFR800_20_3_Gap,41362,41705
 VFR800_20_4_Gap,41426,41961
 VFR800_20_5_Gap,41702,41395
 VFR800_20_6_Gap,41959,41435
 VFR800_20_7_Gap,41379,41783
 VFR800_20_8_Gap,41429,41568
 VFR800_20_9_Gap,41753,41345
 VFR800_40_1_Gap,43456,43466
 VFR800_40_10_Gap,43592,43596
 VFR800_40_2_Gap,43483,43743
 VFR800_40_3_Gap,43512,43794
 VFR800_40_4_Gap,43557,43638
 VFR800_40_5_Gap,43635,43484
 VFR800_40_6_Gap,43549,43666
 VFR800_40_7_Gap,43458,43643
 VFR800_40_8_Gap,43548,43630
 VFR800_40_9_Gap,43497,43575
 VFR800_60_1_Gap,46130,46279
 VFR800_60_10_Gap,46004,46258
 VFR800_60_2_Gap,46164,46261
 VFR800_60_3_Gap,46108,46164
 VFR800_60_4_Gap,46035,46288
 VFR800_60_5_Gap,46101,46061
 VFR800_60_6_Gap,46110,46257
 VFR800_60_7_Gap,45986,46279
 VFR800_60_8_Gap,46136,46211
 VFR800_60_9_Gap,46226,46232
